dataset,method,intra_RMSE,intra_MAPE,cross_RMSE,cross_MAPE
Dataset 1,SVR,2.014±0.558,1.629±0.498,2.392±0.740,1.951±0.751
Dataset 1,RF,1.566±0.372,1.308±0.309,1.765±0.540,1.442±0.427
Dataset 1,GPR,1.873±0.781,1.664±0.682,2.095±0.981,1.851±0.930
Dataset 1,CNN,1.917±1.339,1.957±1.475,5.234±2.989,5.427±3.261
Dataset 1,AE,1.752±1.094,1.715±1.151,4.991±3.121,5.183±3.459
Dataset 1,Benchmark,2.690±2.039,2.737±2.195,5.860±3.349,5.966±3.537
Dataset 1,WSL,0.734±0.276,0.689±0.284,1.931±0.555,1.990±0.623
Dataset 2,SVR,1.653±0.452,1.471±0.333,1.805±0.494,1.614±0.454
Dataset 2,RF,1.635±0.330,1.493±0.313,1.620±0.315,1.488±0.331
Dataset 2,GPR,2.046±0.448,1.747±0.325,2.151±0.708,1.905±0.501
Dataset 2,CNN,1.638±0.759,1.608±0.881,1.662±0.667,1.582±0.710
Dataset 2,AE,1.578±0.642,1.593±0.726,1.911±0.950,1.878±0.887
Dataset 2,Benchmark,1.347±0.536,1.294±0.631,1.438±0.511,1.356±0.549
Dataset 2,WSL,1.231±0.495,1.215±0.579,1.237±0.511,1.213±0.554
Dataset 3,SVR,1.816±0.475,1.614±0.449,2.894±1.043,2.889±1.244
Dataset 3,RF,1.270±0.214,1.097±0.247,2.825±1.134,2.957±1.411
Dataset 3,GPR,1.802±0.617,1.658±0.572,3.274±1.490,3.139±1.535
Dataset 3,CNN,0.709±0.321,0.682±0.341,3.327±1.816,3.656±2.131
Dataset 3,AE,0.733±0.270,0.702±0.310,2.322±1.415,2.560±1.650
Dataset 3,Benchmark,0.683±0.316,0.646±0.329,3.132±1.702,3.419±1.983
Dataset 3,WSL,0.526±0.132,0.475±0.120,1.458±0.556,1.488±0.642
Dataset 4,SVR,2.595±0.610,2.461±0.660,5.329±1.584,5.543±1.875
Dataset 4,RF,1.779±0.631,1.781±0.794,5.580±2.003,6.106±2.292
Dataset 4,GPR,2.613±0.606,2.546±0.674,5.841±1.828,6.272±2.178
Dataset 4,CNN,0.777±0.449,0.830±0.546,2.369±0.861,2.610±1.013
Dataset 4,AE,0.635±0.369,0.692±0.455,1.144±0.486,1.247±0.574
Dataset 4,Benchmark,0.656±0.405,0.702±0.482,2.083±0.856,2.273±1.029
Dataset 4,WSL,0.602±0.296,0.625±0.370,1.228±0.543,1.293±0.644
Dataset 5,SVR,5.422±3.154,5.385±3.146,4.882±2.995,5.034±3.064
Dataset 5,RF,4.956±2.949,4.986±3.116,4.444±2.776,4.605±3.108
Dataset 5,GPR,5.314±3.327,5.407±3.285,4.713±2.977,4.894±3.057
Dataset 5,CNN,1.532±1.115,1.567±1.165,1.916±0.948,1.861±0.875
Dataset 5,AE,1.623±0.661,1.646±0.672,1.908±0.654,1.926±0.571
Dataset 5,Benchmark,2.236±1.105,2.152±1.088,2.588±1.089,2.538±1.087
Dataset 5,WSL,0.953±0.429,0.974±0.462,1.159±0.445,1.138±0.433
Dataset 6,SVR,2.702±1.161,2.312±1.094,2.914±1.322,2.626±1.430
Dataset 6,RF,2.090±1.490,1.911±1.568,2.184±1.540,2.033±1.639
Dataset 6,GPR,3.217±1.774,2.780±1.696,3.581±2.195,3.129±2.079
Dataset 6,CNN,2.280±1.527,2.287±1.616,4.200±2.405,4.063±2.407
Dataset 6,AE,2.209±1.370,2.295±1.493,2.644±1.389,2.559±1.478
Dataset 6,Benchmark,2.219±1.332,2.215±1.440,3.676±1.961,3.517±2.028
Dataset 6,WSL,1.821±1.084,1.753±0.982,1.864±0.864,1.776±0.903
